,0,1,2
0,arteta directs one of the best ensemble casts of the year,1,0
1,"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",1,0
2,but it also has many of the things that made the first one charming .,1,0
3,"it dabbles all around , never gaining much momentum .",0,0
4,"pan nalin 's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic .",1,0
5,"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",0,0
6,"birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",1,0
7,"your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !",1,0
8,like a can of 2-day old coke .,0,0
9,"it 's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america .",1,0
10,... manages to deliver a fair bit of vampire fun .,1,0
11,"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .",1,0
12,"the film is an earnest try at beachcombing verismo , but it would be even more indistinct than it is were it not for the striking , quietly vulnerable personality of ms. ambrose .",0,0
13,"simple , poignant and leavened with humor , it 's a film that affirms the nourishing aspects of love and companionship .",1,0
14,"it sounds like another clever if pointless excursion into the abyss , and that 's more or less how it plays out .",0,0
15,connoisseurs of chinese film will be pleased to discover that tian 's meticulous talent has not withered during his enforced hiatus .,1,0
16,what begins brightly gets bogged down over 140 minutes .,0,0
17,"the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .",0,0
18,"the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",1,0
19,i like it .,1,0
20,"gangster no. 1 is solid , satisfying fare for adults .",1,0
21,"the importance of being earnest , so thick with wit it plays like a reading from bartlett 's familiar quotations",1,0
22,cattaneo reworks the formula that made the full monty a smashing success ... but neglects to add the magic that made it all work .,0,0
23,(moore 's) better at fingering problems than finding solutions .,0,0
24,"the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .",0,0
25,"in the end , the weight of water comes to resemble the kind of soft-core twaddle you 'd expect to see on showtime 's ` red shoe diaries . '",0,0
26,"unlike most surf movies , blue crush thrillingly uses modern technology to take the viewer inside the wave .",1,0
27,visually striking and viscerally repellent .,1,0
28,"with dirty deeds , david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",1,0
29,both lead performances are oscar-size .,1,0
30,"twenty years later , e.t. is still a cinematic touchstone .",1,0
31,"this is a movie full of grace and , ultimately , hope .",1,0
32,"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .",1,0
33,deuces wild is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence .,0,0
34,"if you 're burnt out on it 's a wonderful life marathons and bored with a christmas carol , it might just be the movie you 're looking for .",1,0
35,sweet home alabama certainly wo n't be remembered as one of (witherspoon 's) better films .,0,0
36,hardly a film that comes along every day .,1,0
37,a dark comedy that goes for sick and demented humor simply to do so .,0,0
38,nicholas nickleby celebrates the human spirit with such unrelenting dickensian decency that it turned me (horrors !),1,0
39,"while this movie , by necessity , lacks fellowship 's heart , two towers outdoes its spectacle .",1,0
40,"though there are many tense scenes in trapped , they prove more distressing than suspenseful .",0,0
41,"scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar .",1,0
42,"ultimately ... the movie is too heady for children , and too preachy for adults .",0,0
43,one of the most genuinely sweet films to come along in quite some time .,1,0
44,one ca n't shake the feeling that crossroads is nothing more than an hour-and-a-half-long commercial for britney 's latest album .,0,0
45,"j. lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she 's a pretty woman , but she 's no working girl .",1,0
46,"a tired , predictable , bordering on offensive , waste of time , money and celluloid .",0,0
47,you 'll find yourself wishing that you and they were in another movie .,0,0
48,"great performances , stylish cinematography and a gritty feel help make gangster no. 1 a worthwhile moviegoing experience .",1,0
49,"an oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion .",1,0
50,"this is a third-person story now , told by hollywood , and much more ordinary for it .",0,0
51,it made me realize that we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire .,0,0
52,"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .",0,0
53,a major waste ... generic .,0,0
54,too clever by about nine-tenths .,1,0
55,"berling and béart ... continue to impress , and isabelle huppert ... again shows uncanny skill in getting under the skin of her characters .",1,0
56,despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything .,1,0
57,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,0
58,"if swimfan does catch on , it may be because teens are looking for something to make them laugh .",0,0
59,"this is pure , exciting moviemaking .",1,0
60,"on its own , it 's not very interesting .",0,0
61,"the film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .",0,0
62,no thanks .,0,0
63,there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,1,0
64,a sentimental hybrid that could benefit from the spice of specificity .,1,0
65,"who knows , but it works under the direction of kevin reynolds .",1,0
66,"while the transgressive trappings (especially the frank sex scenes) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative .",0,0
67,"one well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing .",0,0
68,"a simpler , leaner treatment would have been preferable ; after all , being about nothing is sometimes funnier than being about something .",0,0
69,"my precious new star wars movie is a lumbering , wheezy drag ...",0,0
70,"director todd solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates .",1,0
71,an ugly-duckling tale so hideously and clumsily told it feels accidental .,0,0
72,it 's quite diverting nonsense .,0,0
73,collapses after 30 minutes into a slap-happy series of adolescent violence .,0,0
74,"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart .",1,0
75,"beyond the cleverness , the weirdness and the pristine camerawork , one hour photo is a sobering meditation on why we take pictures .",1,0
76,the imax screen enhances the personal touch of manual animation .,1,0
77,"ringu is a disaster of a story , full of holes and completely lacking in chills .",0,0
78,"follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun .",0,0
79,"definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '",1,0
80,every conceivable mistake a director could make in filming opera has been perpetrated here .,0,0
81,there are few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending .,0,0
82,"watching junk like this induces a kind of abstract guilt , as if you were paying dues for good books unread , fine music never heard .",0,0
83,this slight premise ... works because of the ideal casting of the masterful british actor ian holm as the aged napoleon .,1,0
84,shows moments of promise but ultimately succumbs to cliches and pat storytelling .,0,0
85,"rob schneider 's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian .",0,0
86,that works .,1,0
87,a noble failure .,0,0
88,"think of it as gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",1,0
89,"a boring masquerade ball where normally good actors , even kingsley , are made to look bad .",0,0
90,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",1,0
91,beware the quirky brit-com .,0,0
92,the movie is virtually without context -- journalistic or historical .,0,0
93,it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .,0,0
94,- greaseballs mob action-comedy .,0,0
95,"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",1,0
96,did we really need a remake of `` charade ? '',0,0
97,exciting documentary .,1,0
98,a movie like the guys is why film criticism can be considered work .,0,0
