,0,1,2
0,both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .,1,0
1,arteta directs one of the best ensemble casts of the year,1,0
2,"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",1,0
3,"feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .",0,0
4,"while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .",1,0
5,"it 's a fine , old-fashioned-movie movie , which is to say it 's unburdened by pretensions to great artistic significance .",1,0
6,but it also has many of the things that made the first one charming .,1,0
7,"pan nalin 's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic .",1,0
8,less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling (though no less horrifying for it) .,1,0
9,"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",1,0
10,plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .,1,0
11,"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",0,0
12,"birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",1,0
13,"your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !",1,0
14,like a can of 2-day old coke .,0,0
15,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films .",1,0
16,"boy , has this franchise ever run out of gas .",0,0
17,"it 's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america .",1,0
18,murder by numbers just does n't add up .,0,0
19,... manages to deliver a fair bit of vampire fun .,1,0
20,there is n't one moment in the film that surprises or delights .,0,0
21,"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .",1,0
22,a modest masterpiece .,1,0
23,"simple , poignant and leavened with humor , it 's a film that affirms the nourishing aspects of love and companionship .",1,0
24,"what one is left with , even after the most awful acts are committed , is an overwhelming sadness that feels as if it has made its way into your very bloodstream .",1,0
